,Rooms,Bathroom,Landsize,Lattitude,Longtitude,Price
53,3,1.0,265.0,-37.7302,144.8855,752000.0
56,3,2.0,165.0,-37.727,144.887,700000.0
57,3,1.0,971.0,-37.7186,144.876,830000.0
60,2,1.0,612.0,-37.7187,144.8765,675000.0
61,3,2.0,612.0,-37.7173,144.8796,1042000.0
63,4,3.0,531.0,-37.7263,144.8679,773000.0
64,3,3.0,555.0,-37.7285,144.8694,810000.0
65,3,2.0,422.0,-37.7164,144.8792,715000.0
67,3,2.0,161.0,-37.7231,144.8802,540000.0
68,3,2.0,293.0,-37.72,144.8776,825000.0
69,3,1.0,579.0,-37.7226,144.8733,685000.0
77,4,2.0,628.0,-37.7256,144.8739,900000.0
78,2,1.0,120.0,-37.8459,144.9555,1275000.0
80,3,2.0,211.0,-37.8481,144.9499,2850000.0
81,3,2.0,128.0,-37.8452,144.9488,1850000.0
82,2,1.0,130.0,-37.8431,144.9565,1436000.0
85,4,2.0,153.0,-37.8447,144.9523,2300000.0
87,3,2.0,132.0,-37.8415,144.952,1800000.0
88,2,1.0,199.0,-37.8422,144.9554,2120000.0
90,3,2.0,90.0,-37.8421,144.9571,1800000.0
92,3,2.0,177.0,-37.8415,144.9585,2615000.0
95,3,2.0,0.0,-37.8451,144.9511,1370000.0
98,2,1.0,149.0,-37.8443,144.9481,1322500.0
99,2,1.0,141.0,-37.8424,144.9562,1562500.0
100,3,2.0,211.0,-37.847,144.9575,2000000.0
102,3,2.0,147.0,-37.8473,144.9551,3010000.0
103,4,3.0,327.0,-37.8467,144.9475,2800000.0
105,3,1.0,120.0,-37.8427,144.9546,2100000.0
106,3,1.0,238.0,-37.8461,144.9528,2000000.0
107,1,1.0,0.0,-37.8421,144.9517,442500.0
108,4,2.0,330.0,-37.8477,144.9558,4735000.0
113,4,2.0,183.0,-37.8434,144.9495,2140000.0
115,2,1.0,79.0,-37.8387,144.9519,980000.0
117,3,2.0,147.0,-37.8448,144.9453,1740000.0
119,1,1.0,81.0,-37.8411,144.9497,985000.0
120,4,2.0,853.0,-37.7707,145.0318,2000000.0
123,4,2.0,599.0,-37.7717,145.031,1717500.0
124,5,4.0,809.0,-37.775,145.0268,2840000.0
125,2,1.0,88.0,-37.7791,145.0306,525500.0
126,2,2.0,155.0,-37.7804,145.0308,805000.0
131,4,2.0,606.0,-37.7743,145.0316,1830000.0
132,4,2.0,575.0,-37.7723,145.0319,2100000.0
133,3,1.0,180.0,-37.7802,145.0243,865000.0
134,2,1.0,0.0,-37.7773,145.0314,390000.0
136,2,1.0,0.0,-37.7805,145.0262,512000.0
138,4,2.0,556.0,-37.7844,145.0225,1900000.0
140,4,2.0,589.0,-37.7719,145.0309,1950000.0
141,3,2.0,352.0,-37.87,144.825,520000.0
142,5,3.0,729.0,-37.8721,144.8105,1525000.0
143,2,1.0,292.0,-37.8687,144.8197,720000.0
144,3,1.0,506.0,-37.8693,144.8375,1120000.0
146,4,3.0,1057.0,-37.8681,144.819,1780000.0
147,3,1.0,311.0,-37.8702,144.8143,630000.0
149,3,1.0,602.0,-37.8616,144.8116,660000.0
151,2,1.0,225.0,-37.8696,144.827,580000.0
152,3,1.0,777.0,-37.8697,144.8249,1335000.0
154,2,1.0,127.0,-37.8686,144.8182,510000.0
156,2,1.0,115.0,-37.871,144.8185,425000.0
159,2,1.0,0.0,-37.8678,144.8384,391000.0
161,4,1.0,745.0,-37.8658,144.8155,845000.0
163,3,2.0,69.0,-37.868,144.8286,730000.0
166,2,1.0,137.0,-37.8655,144.8299,447000.0
168,3,1.0,606.0,-37.8608,144.8124,678000.0
169,2,2.0,175.0,-37.8687,144.8268,580000.0
171,3,2.0,534.0,-37.86,144.8245,840000.0
175,3,2.0,205.0,-37.8684,144.815,577000.0
179,2,2.0,675.0,-37.8653,144.8129,857000.0
181,3,2.0,70.0,-37.868,144.8285,730000.0
185,2,1.0,154.0,-37.8646,144.8272,535600.0
186,5,3.0,592.0,-37.8388,144.8567,1085000.0
187,3,1.0,533.0,-37.8291,144.835,781000.0
189,2,1.0,77.0,-37.8351,144.8529,421000.0
191,3,1.0,534.0,-37.8284,144.8355,683000.0
193,3,2.0,0.0,-37.8379,144.8583,720000.0
194,3,1.0,328.0,-37.838,144.8555,588000.0
195,3,1.0,540.0,-37.8294,144.8378,710000.0
196,4,1.0,559.0,-37.8448,144.8529,875000.0
200,3,2.0,171.0,-37.8337,144.8554,675000.0
201,3,1.0,585.0,-37.8258,144.8523,708000.0
206,4,2.0,315.0,-37.8391,144.8467,693000.0
207,3,2.0,276.0,-37.8262,144.8443,620000.0
208,3,1.0,531.0,-37.8277,144.8385,728500.0
209,3,2.0,590.0,-37.8382,144.8649,931000.0
213,3,2.0,555.0,-37.8318,144.8388,815000.0
217,4,1.0,633.0,-37.8375,144.8541,1200000.0
220,2,1.0,153.0,-37.8332,144.8649,292000.0
221,2,1.0,0.0,-37.8543,145.0262,599000.0
223,3,2.0,0.0,-37.8552,145.016,995000.0
224,3,2.0,101.0,-37.854,145.0135,1205000.0
225,3,2.0,296.0,-37.8614,145.0274,1939000.0
227,3,1.0,217.0,-37.8592,145.0182,1870000.0
229,3,2.0,0.0,-37.8537,145.0267,1918000.0
231,3,2.0,205.0,-37.8574,145.0281,2050000.0
236,3,2.0,2113.0,-37.8543,145.0262,735000.0
240,1,2.0,144.0,-37.8564,145.0228,1435000.0
241,1,1.0,0.0,-37.8619,145.0185,280000.0
244,2,1.0,0.0,-37.8574,145.0174,592500.0
245,2,1.0,249.0,-37.8543,145.016,1210000.0
246,4,2.0,624.0,-37.8536,145.0173,2801000.0
248,3,2.0,405.0,-37.8545,145.0145,1800000.0
249,4,1.0,495.0,-37.8613,145.0264,2200000.0
251,6,3.0,1491.0,-37.8602,145.013,5525000.0
256,1,1.0,0.0,-37.8531,145.0115,440000.0
259,3,1.0,212.0,-37.8542,145.0149,1300000.0
261,2,1.0,0.0,-37.8573,145.0186,704000.0
262,2,1.0,0.0,-37.8596,145.0198,620000.0
263,3,1.0,328.0,-37.8559,145.0158,1900000.0
266,2,1.0,2471.0,-37.8573,145.0186,710000.0
268,2,1.0,0.0,-37.8593,145.0156,598000.0
269,3,1.0,186.0,-37.8554,145.0173,1285000.0
271,2,1.0,0.0,-37.8618,145.0183,520000.0
272,4,1.0,709.0,-37.8574,145.016,3625000.0
273,4,3.0,563.0,-37.8582,145.0138,4200000.0
274,3,1.0,103.0,-37.8542,145.0135,1101000.0
275,3,2.0,617.0,-37.8557,145.0264,3512500.0
277,3,1.0,0.0,-37.853,145.0264,869000.0
280,1,1.0,0.0,-37.8549,145.0113,567000.0
284,3,1.0,298.0,-37.7777,144.9195,940000.0
285,2,1.0,0.0,-37.7761,144.9201,467000.0
286,3,2.0,277.0,-37.7777,144.9221,1380000.0
287,2,1.0,423.0,-37.7736,144.9015,490000.0
288,4,3.0,478.0,-37.7729,144.9179,1850000.0
290,3,2.0,285.0,-37.775,144.9091,971000.0
291,2,1.0,214.0,-37.7776,144.9142,710000.0
292,6,3.0,1014.0,-37.7721,144.9184,2425000.0
293,2,1.0,226.0,-37.7745,144.9093,750000.0
294,2,1.0,269.0,-37.7748,144.929,1053000.0
295,3,1.0,417.0,-37.7756,144.9208,1377000.0
296,3,1.0,350.0,-37.7759,144.91,970000.0
298,2,1.0,118.0,-37.7807,144.9288,751000.0
299,2,1.0,173.0,-37.7731,144.9206,950000.0
300,2,1.0,228.0,-37.7718,144.9066,685000.0
301,3,1.0,594.0,-37.7819,144.9064,1230000.0
304,2,1.0,226.0,-37.7774,144.9186,770000.0
306,4,1.0,300.0,-37.7766,144.9143,890000.0
308,3,1.0,487.0,-37.7725,144.9146,1440000.0
312,3,2.0,440.0,-37.7746,144.9031,1000000.0
313,3,2.0,532.0,-37.7737,144.904,1435000.0
314,1,1.0,0.0,-37.7723,144.9094,390000.0
315,3,2.0,495.0,-37.7821,144.9055,1425000.0
316,4,2.0,683.0,-37.775,144.93200000000004,1340000.0
317,3,1.0,263.0,-37.7753,144.9116,955000.0
318,4,2.0,559.0,-37.7791,144.9136,1100000.0
320,2,1.0,0.0,-37.773,144.9303,432000.0
321,4,3.0,562.0,-37.782,144.903,1640000.0
322,6,2.0,461.0,-37.78,144.9295,1430000.0
323,2,1.0,301.0,-37.7791,144.914,610000.0
324,3,3.0,491.0,-37.7727,144.9136,940000.0
325,3,1.0,242.0,-37.7765,144.9114,890000.0
326,3,2.0,617.0,-37.7742,144.906,1180000.0
327,4,2.0,597.0,-37.7757,144.9088,1480000.0
331,2,2.0,146.0,-37.7713,144.9038,865000.0
333,2,1.0,0.0,-37.7733,144.9219,442000.0
335,3,1.0,506.0,-37.7779,144.9133,1037500.0
336,3,2.0,318.0,-37.7744,144.9035,1050000.0
337,2,1.0,0.0,-37.7749,144.9137,440000.0
339,4,2.0,418.0,-37.7766,144.9187,1430000.0
343,3,2.0,272.0,-37.7774,144.928,1130000.0
344,3,1.0,296.0,-37.777,144.9176,1135000.0
345,4,2.0,298.0,-37.7778,144.9131,950000.0
347,2,1.0,1957.0,-37.7731,144.9074,390000.0
348,4,1.0,552.0,-37.7769,144.9138,1345000.0
349,3,2.0,416.0,-37.7727,144.9055,1381500.0
350,3,2.0,285.0,-37.7778,144.9061,940000.0
351,3,2.0,314.0,-37.7778,144.9042,995000.0
353,3,2.0,576.0,-37.7816,144.9217,786000.0
354,2,1.0,252.0,-37.7825,144.9206,705000.0
355,2,1.0,124.0,-37.7807,144.9285,760000.0
357,3,2.0,200.0,-37.7766,144.9277,1000000.0
362,3,1.0,278.0,-37.7768,144.9223,1305000.0
365,3,1.0,452.0,-37.7762,144.9174,1215000.0
366,2,1.0,194.0,-37.7772,144.9118,545000.0
367,4,2.0,598.0,-37.7774,144.9104,1705000.0
370,4,3.0,753.0,-37.8669,145.0767,2650000.0
371,3,2.0,599.0,-37.8673,145.0688,1670000.0
373,3,3.0,310.0,-37.874,145.0714,2050000.0
376,3,2.0,731.0,-37.8666,145.0676,1555000.0
377,3,3.0,276.0,-37.8699,145.0778,1100000.0
378,3,1.0,583.0,-37.8685,145.0786,1337000.0
379,8,7.0,1472.0,-37.8729,145.0788,2950000.0
381,3,2.0,516.0,-37.8675,145.0668,1518000.0
382,3,1.0,806.0,-37.8695,145.084,1710000.0
383,3,1.0,780.0,-37.8599,145.0815,1655000.0
384,4,2.0,780.0,-37.86,145.0817,1550000.0
385,3,2.0,351.0,-37.8742,145.07,1662000.0
386,3,2.0,702.0,-37.8737,145.0695,1665000.0
388,5,5.0,755.0,-37.8598,145.0796,3510000.0
390,3,2.0,153.0,-37.8655,145.0808,900000.0
392,5,4.0,1075.0,-37.8714,145.07299999999995,2752000.0
393,3,2.0,710.0,-37.8653,145.0897,1500000.0
394,4,2.0,749.0,-37.8669,145.077,1800000.0
395,3,2.0,724.0,-37.8619,145.0879,1830000.0
396,3,1.0,605.0,-37.8703,145.0774,1415000.0
397,2,1.0,687.0,-37.872,145.0692,1440000.0
398,4,2.0,321.0,-37.8693,145.08,1250000.0
400,5,3.0,700.0,-37.8724,145.0758,1600000.0
401,4,2.0,696.0,-37.8711,145.0746,1860000.0
403,4,2.0,514.0,-37.8664,145.0772,1790000.0
404,4,2.0,844.0,-37.8715,145.0688,1950000.0
407,3,1.0,697.0,-37.8636,145.0903,1650000.0
411,4,3.0,372.0,-37.8716,145.0999,1200000.0
412,2,1.0,695.0,-37.8694,145.0944,1075000.0
413,4,2.0,621.0,-37.8647,145.1023,1500000.0
415,2,1.0,367.0,-37.8662,145.109,700000.0
416,3,2.0,400.0,-37.8675,145.106,761000.0
419,3,1.0,792.0,-37.864000000000004,145.0972,1365000.0
420,4,2.0,803.0,-37.8621,145.1126,1100000.0
422,2,1.0,216.0,-37.8711,145.1017,690000.0
423,3,2.0,782.0,-37.8621,145.1021,1631000.0
424,4,2.0,593.0,-37.8655,145.096,1500000.0
426,5,3.0,585.0,-37.8637,145.1024,1529500.0
427,2,1.0,153.0,-37.8696,145.0962,600000.0
430,4,2.0,766.0,-37.8629,145.1097,1240000.0
431,2,1.0,192.0,-37.8709,145.102,700000.0
433,2,1.0,586.0,-37.8683,145.1082,1110000.0
434,3,1.0,760.0,-37.858000000000004,145.1038,1305000.0
435,3,2.0,320.0,-37.87,145.1103,855000.0
436,3,2.0,256.0,-37.8655,145.1096,900500.0
437,3,2.0,839.0,-37.8614,145.1098,1200000.0
438,3,1.0,212.0,-37.8723,145.1089,830000.0
439,3,1.0,593.0,-37.7677,144.8674,850000.0
440,3,1.0,0.0,-37.7634,144.8611,750000.0
441,3,3.0,557.0,-37.77,144.8572,851000.0
444,4,2.0,569.0,-37.7654,144.8655,1155000.0
448,3,1.0,570.0,-37.7591,144.8542,680000.0
451,3,1.0,550.0,-37.7632,144.8622,627500.0
453,4,3.0,761.0,-37.7524,144.8714,950000.0
466,3,1.0,581.0,-37.7691,144.8575,705000.0
467,4,3.0,873.0,-37.7609,144.8639,1100000.0
468,3,1.0,586.0,-37.7642,144.8603,892500.0
470,2,1.0,220.0,-37.756,144.8641,522500.0
471,4,2.0,554.0,-37.7649,144.8633,680000.0
475,3,1.0,812.0,-37.765,144.8578,875000.0
478,4,2.0,589.0,-37.7573,144.8534,762000.0
479,2,1.0,0.0,-37.7608,144.863,411000.0
482,3,2.0,593.0,-37.7607,144.8581,805000.0
485,3,2.0,582.0,-37.7584,144.8568,634000.0
489,4,2.0,244.0,-37.8668,144.9928,1819000.0
490,2,1.0,0.0,-37.8731,144.9958,410000.0
492,2,1.0,114.0,-37.8723,144.9961,1015000.0
493,2,1.0,0.0,-37.8725,144.9952,502500.0
494,2,1.0,0.0,-37.8742,144.9972,520000.0
495,2,1.0,0.0,-37.8726,144.9962,442000.0
496,3,1.0,178.0,-37.8663,144.9948,1193000.0
497,2,1.0,0.0,-37.8678,144.9966,416000.0
499,2,1.0,0.0,-37.8667,144.9917,474000.0
500,2,1.0,159.0,-37.874,144.9933,981000.0
501,3,2.0,339.0,-37.872,144.9909,1690000.0
502,2,1.0,483.0,-37.8727,144.9969,540000.0
506,2,1.0,659.0,-37.8094,145.0807,2100000.0
507,4,2.0,715.0,-37.811,145.0958,1800000.0
508,2,1.0,208.0,-37.8128,145.0975,1255000.0
509,3,2.0,206.0,-37.8161,145.0812,1070000.0
510,5,3.0,715.0,-37.8028,145.0768,2570000.0
511,4,2.0,744.0,-37.8147,145.0748,2400000.0
514,2,1.0,122.0,-37.8124,145.0916,806000.0
515,6,4.0,2051.0,-37.8051,145.1016,4000000.0
517,5,3.0,600.0,-37.8061,145.0801,2250000.0
521,5,3.0,678.0,-37.8048,145.0708,2800000.0
524,2,1.0,1015.0,-37.8074,145.0826,1850000.0
526,3,1.0,188.0,-37.8065,145.065,700000.0
528,2,1.0,0.0,-37.8162,145.0841,500000.0
529,3,2.0,699.0,-37.814,145.0966,2125000.0
530,4,2.0,577.0,-37.8032,145.0693,1800000.0
531,2,1.0,0.0,-37.8116,145.0724,635000.0
532,2,1.0,0.0,-37.8144,145.0993,526000.0
534,3,1.0,281.0,-37.8013,145.0652,905000.0
535,4,3.0,453.0,-37.8044,145.1006,1750000.0
536,2,1.0,121.0,-37.8112,145.0881,760000.0
538,3,2.0,219.0,-37.8125,145.0849,1367000.0
541,4,3.0,241.0,-37.8042,145.1042,1400000.0
542,4,2.0,935.0,-37.8157,145.0795,3270000.0
543,2,1.0,115.0,-37.8122,145.0879,625000.0
546,4,3.0,674.0,-37.8068,145.0786,2730000.0
548,2,1.0,0.0,-37.8152,145.0839,460000.0
550,2,1.0,231.0,-37.8123,145.0821,1053000.0
552,3,2.0,306.0,-37.8106,145.0848,1472000.0
555,2,1.0,87.0,-37.8134,145.08100000000005,754000.0
558,4,2.0,752.0,-37.8149,145.0747,2188000.0
559,2,1.0,213.0,-37.8092,145.0789,755000.0
561,4,3.0,1007.0,-37.8135,145.0995,3290000.0
564,4,2.0,685.0,-37.8056,145.071,2410000.0
565,2,1.0,0.0,-37.8147,145.084,650000.0
569,4,1.0,739.0,-37.8039,145.0631,2000000.0
570,4,2.0,665.0,-37.8057,145.0825,1900000.0
571,3,2.0,706.0,-37.8161,145.0748,3401000.0
572,3,2.0,613.0,-37.8056,145.0688,1750000.0
575,5,3.0,715.0,-37.8028,145.0768,3020000.0
577,5,2.0,981.0,-37.8058,145.0627,2450000.0
579,2,1.0,130.0,-37.812,145.0876,730000.0
581,3,2.0,404.0,-37.8075,145.1011,1500000.0
583,4,1.0,672.0,-37.8099,145.0792,1700000.0
585,3,2.0,260.0,-37.7966,145.1021,1315000.0
586,3,2.0,778.0,-37.7939,145.0789,1500000.0
587,4,4.0,1135.0,-37.8014,145.0892,3230000.0
590,4,2.0,647.0,-37.7917,145.0868,1905000.0
591,5,4.0,760.0,-37.7907,145.0907,3300000.0
592,4,2.0,642.0,-37.7988,145.0726,1900000.0
593,3,1.0,888.0,-37.8002,145.0949,2251000.0
594,4,2.0,750.0,-37.7906,145.0788,2205000.0
595,3,2.0,347.0,-37.7947,145.1035,1265000.0
597,4,2.0,673.0,-37.7856,145.0918,1750000.0
598,3,1.0,665.0,-37.7862,145.0781,1450000.0
599,4,2.0,772.0,-37.7959,145.0787,2614000.0
600,4,2.0,736.0,-37.7944,145.1028,1825000.0
603,5,4.0,886.0,-37.804,145.0951,3250000.0
605,3,2.0,207.0,-37.7893,145.092,1150000.0
608,4,2.0,662.0,-37.798,145.1007,1572000.0
611,5,3.0,705.0,-37.7851,145.0775,1750000.0
612,4,2.0,619.0,-37.8025,145.0843,1850000.0
615,4,3.0,1274.0,-37.7822,145.0907,2130000.0
617,5,4.0,624.0,-37.802,145.0797,3690000.0
618,4,2.0,610.0,-37.7843,145.0891,1740000.0
619,4,3.0,657.0,-37.7981,145.0904,2575000.0
620,4,2.0,517.0,-37.783,145.0926,1388800.0
622,4,2.0,587.0,-37.7841,145.0953,1800000.0
623,4,3.0,1070.0,-37.7975,145.0716,2910000.0
628,5,3.0,900.0,-37.7868,145.0677,2200000.0
632,3,2.0,763.0,-37.7935,145.0865,1700000.0
635,3,3.0,310.0,-37.7949,145.1014,1230000.0
636,7,3.0,637.0,-37.7898,145.0967,2600000.0
637,4,3.0,665.0,-37.7889,145.0904,1950000.0
638,5,2.0,710.0,-37.7907,145.0916,1750000.0
639,5,2.0,1002.0,-37.796,145.0984,2000000.0
640,3,1.0,605.0,-37.7951,145.0696,1480000.0
642,3,1.0,722.0,-37.7956,145.0829,1818000.0
644,4,2.0,1235.0,-37.7988,145.089,2525000.0
645,4,3.0,904.0,-37.797,145.086,3360000.0
647,3,1.0,713.0,-37.7982,145.0816,1903000.0
649,4,3.0,869.0,-37.8002,145.0999,1720000.0
652,4,2.0,667.0,-37.7835,145.0883,1675000.0
653,4,3.0,362.0,-37.7987,145.0788,1680000.0
656,5,5.0,1364.0,-37.7961,145.0859,4000000.0
658,4,2.0,1010.0,-37.7982,145.0903,2205000.0
660,3,2.0,949.0,-37.796,145.0696,2100000.0
662,2,1.0,177.0,-37.7935,145.0679,685000.0
664,3,2.0,368.0,-37.7846,145.0935,1335000.0
667,4,2.0,587.0,-37.7841,145.0953,1900000.0
670,2,1.0,250.0,-37.7996,145.0959,1040000.0
672,4,2.0,644.0,-37.7997,145.0993,1250000.0
674,5,3.0,842.0,-37.7854,145.0869,1875000.0
675,4,2.0,701.0,-37.7839,145.0954,1530000.0
676,4,2.0,754.0,-37.786,145.0886,1700000.0
680,3,1.0,657.0,-37.7895,145.0985,1651000.0
681,5,3.0,900.0,-37.7868,145.0677,1920000.0
682,5,2.0,845.0,-37.7898,145.1021,1560000.0
684,3,2.0,207.0,-37.7893,145.092,1038000.0
685,5,3.0,737.0,-37.7975,145.0961,1660000.0
691,3,2.0,720.0,-37.7938,145.0838,1770000.0
692,2,1.0,0.0,-37.7938,145.0666,691500.0
696,3,1.0,348.0,-37.9273,145.0479,875000.0
700,3,2.0,613.0,-37.9311,145.0428,1425000.0
701,2,1.0,140.0,-37.9204,145.0443,851000.0
702,3,2.0,299.0,-37.9272,145.0406,1222500.0
708,3,1.0,576.0,-37.9149,145.0254,1317500.0
709,2,1.0,0.0,-37.9332,145.045,360000.0
710,4,3.0,291.0,-37.9278,145.0337,1435000.0
711,3,1.0,692.0,-37.9263,145.04,1110000.0
712,4,2.0,795.0,-37.9166,145.0314,2435000.0
713,3,2.0,565.0,-37.9134,145.0263,1500000.0
714,4,2.0,697.0,-37.9318,145.0474,1300000.0
716,3,1.0,584.0,-37.9199,145.0477,1125000.0
719,4,2.0,610.0,-37.9291,145.0472,1328000.0
720,3,2.0,526.0,-37.9279,145.031,1340000.0
721,4,3.0,271.0,-37.9252,145.0494,1155000.0
722,3,1.0,758.0,-37.9267,145.043,1275000.0
724,2,1.0,296.0,-37.9243,145.0376,855000.0
726,2,1.0,116.0,-37.9245,145.0336,650000.0
727,4,2.0,902.0,-37.924,145.0504,1815000.0
728,4,3.0,557.0,-37.9132,145.0251,2255000.0
731,2,2.0,226.0,-37.9274,145.031,855000.0
734,4,2.0,855.0,-37.9163,145.0324,1860000.0
735,2,1.0,227.0,-37.9326,145.0387,725000.0
736,3,1.0,632.0,-37.9282,145.0367,1293000.0
739,3,2.0,690.0,-37.9317,145.0469,1328000.0
740,4,2.0,354.0,-37.9326,145.0441,1247000.0
745,3,1.0,624.0,-37.9256,145.0374,1370000.0
749,3,2.0,581.0,-37.9286,145.0495,1095000.0
751,2,1.0,677.0,-37.9173,145.0359,725000.0
752,3,2.0,147.0,-37.9317,145.0352,825000.0
753,3,2.0,0.0,-37.9289,145.0478,1235000.0
755,3,1.0,694.0,-37.9315,145.0445,1165000.0
757,4,2.0,736.0,-37.9224,145.0462,1910000.0
759,2,1.0,336.0,-37.929,145.0375,820000.0
762,4,2.0,611.0,-37.9289,145.0481,1430000.0
763,2,1.0,274.0,-37.9178,145.0413,910000.0
764,4,4.0,579.0,-37.9155,145.0243,2520000.0
768,5,2.0,567.0,-37.9144,145.0401,1900000.0
772,2,2.0,123.0,-37.9307,145.0379,670000.0
773,2,1.0,83.0,-37.9259,145.0341,680000.0
774,4,3.0,346.0,-37.9294,145.041,1320000.0
776,6,3.0,708.0,-37.9181,145.04399999999995,1900000.0
777,3,2.0,572.0,-37.9148,145.0404,1535000.0
778,4,1.0,594.0,-37.9206,145.0383,1281000.0
780,5,2.0,664.0,-37.9241,145.048,1385000.0
784,4,4.0,579.0,-37.9155,145.0243,2620000.0
789,2,2.0,176.0,-37.9237,145.0763,825000.0
790,2,1.0,281.0,-37.9255,145.0796,746000.0
792,5,2.0,683.0,-37.9333,145.0602,1275000.0
797,3,2.0,384.0,-37.9229,145.0557,1025000.0
800,2,1.0,76.0,-37.91,145.0842,495000.0
802,4,2.0,585.0,-37.9167,145.0771,1220000.0
803,3,1.0,565.0,-37.9262,145.0808,885000.0
804,3,2.0,292.0,-37.9168,145.069,830000.0
808,4,3.0,291.0,-37.9347,145.0546,1210000.0
809,4,2.0,321.0,-37.914,145.0714,1160000.0
810,3,2.0,730.0,-37.9119,145.0705,1215000.0
811,4,2.0,619.0,-37.9358,145.0688,1200000.0
812,3,2.0,627.0,-37.9284,145.0668,1050000.0
813,5,2.0,618.0,-37.9209,145.0757,950000.0
814,2,2.0,0.0,-37.9212,145.0674,380000.0
818,3,2.0,610.0,-37.9231,145.066,1338000.0
820,2,1.0,265.0,-37.9223,145.0747,651000.0
822,3,2.0,590.0,-37.9256,145.0757,1390000.0
825,3,1.0,578.0,-37.9186,145.0709,1100000.0
828,4,1.0,636.0,-37.925,145.0612,1206000.0
829,2,1.0,0.0,-37.9082,145.0681,486500.0
832,4,2.0,604.0,-37.9153,145.0707,1415000.0
833,4,2.0,305.0,-37.9245,145.0507,1185000.0
834,4,3.0,313.0,-37.9164,145.0765,1060000.0
840,3,2.0,295.0,-37.9239,145.0781,845000.0
841,3,2.0,254.0,-37.9227,145.0558,860000.0
843,3,2.0,167.0,-37.9219,145.0733,921000.0
846,2,1.0,300.0,-37.9099,145.0726,742500.0
847,3,2.0,578.0,-37.9303,145.0805,920000.0
850,2,1.0,591.0,-37.9179,145.071,702000.0
852,3,2.0,268.0,-37.9196,145.0691,805000.0
854,4,2.0,274.0,-37.9257,145.0735,1100000.0
857,3,1.0,726.0,-37.9117,145.0695,1050000.0
860,2,2.0,201.0,-37.9293,145.0657,722000.0
861,3,1.0,588.0,-37.9286,145.069,930000.0
862,3,2.0,291.0,-37.919000000000004,145.0829,921000.0
863,4,1.0,610.0,-37.9193,145.0691,1035000.0
866,4,2.0,618.0,-37.9252,145.0562,1352000.0
867,4,2.0,296.0,-37.9197,145.05700000000004,1005000.0
869,5,2.0,659.0,-37.906,145.0547,1600000.0
870,3,1.0,721.0,-37.9244,145.0665,1200000.0
871,3,2.0,421.0,-37.9168,145.0809,780000.0
872,4,2.0,314.0,-37.9299,145.0598,1250000.0
876,4,2.0,583.0,-37.9262,145.0624,1110000.0
878,4,2.0,700.0,-37.9117,145.0534,1690000.0
879,3,3.0,391.0,-37.9149,145.0788,791000.0
880,3,1.0,780.0,-37.9347,145.0507,900000.0
884,3,2.0,267.0,-37.9176,145.0566,970000.0
888,3,2.0,213.0,-37.9079,145.0707,823000.0
892,4,2.0,316.0,-37.9198,145.0789,1045000.0
895,2,1.0,154.0,-37.9079,145.0685,655000.0
896,5,3.0,623.0,-37.9066,145.0541,1550000.0
897,3,1.0,250.0,-37.9087,145.0537,835000.0
900,4,2.0,319.0,-37.9256,145.0533,1465000.0
901,3,1.0,587.0,-37.9241,145.0763,910000.0
902,3,2.0,388.0,-37.9329,145.053,920000.0
